name,k,k_uncert,Q1,Q2,Q3,Q4,Q5,Q6,theta1,theta2,theta3,theta4,theta5,theta6
sample001,0.989928,8.414388e-05,0.16347704333347737,0.14852963143285647,0.17472526067372673,0.18655596045280384,0.18244157884223844,0.1442705252648973,257.58492677,20.18968488,310.82875214,183.26039235,196.62634678,301.38863345
sample002,0.994373,8.253295899999999e-05,0.15335324987534846,0.166642907406636,0.1717826394002499,0.17243549554197354,0.1790500735345071,0.156735634241285,320.15872835,195.65536996,59.93144739,281.11846834,204.50810242,237.48740637
sample003,1.03055,8.244400000000001e-05,0.15888658952315493,0.16076996362585097,0.1846857427029967,0.17813076877815082,0.17039137914082045,0.14713555622902605,263.68831227,141.92222134,133.34917583,168.26989054,154.8121558,227.10993746
sample004,1.01215,8.400845e-05,0.1685372488782232,0.1572783444998609,0.18029190878290766,0.1616788483768481,0.173323810824233,0.15888983863792708,172.06329829,290.26083207,162.87719019,318.32310471,213.39519127,213.07602322
sample005,1.00383,8.231406e-05,0.17061939398547574,0.16923233387168954,0.19091389265901204,0.16341382173802538,0.16771269493380994,0.1381078628119872,211.54525392,129.39620646,183.2933862,313.40265122,201.61301212,309.3733346
sample006,0.991034,8.423789000000001e-05,0.17820421553337462,0.1712117093676544,0.1751297092453268,0.17354912360889024,0.15687134128671026,0.1450339009580438,231.6132387,151.30626023,320.3475254,159.75737954,327.43992575,103.65678513
sample007,0.973166,8.4665442e-05,0.15406802786809615,0.17305221355512818,0.18039124551177696,0.18157658508117658,0.1712570716113775,0.13965485637244462,347.46142425,218.47038899,61.24880951,133.1098416,109.86391148,61.40898702
sample008,0.982978,8.5519086e-05,0.1568785776439603,0.1767007462598208,0.19005605440571247,0.1668575972751336,0.15448114008671265,0.1550258843286602,59.27235724,212.50426315,260.59221579,305.48129349,348.84485315,192.29407186
sample009,0.982039,8.4455354e-05,0.17296910358121484,0.1693608694228229,0.17328871565656645,0.1819185341083301,0.1662691416344488,0.136193635596617,186.39799403,264.88013431,48.67491617,187.40590669,287.64064916,356.77378546
sample010,0.976012,8.4913044e-05,0.17706070477670416,0.15577168039624822,0.19032849005141228,0.16585847421643896,0.1550261309359861,0.15595451962321025,192.78918142,330.28704397,158.89948806,68.49905107,23.11341533,264.90971964
sample011,0.990934,8.422939000000001e-05,0.1544473732037179,0.15904432407136404,0.19985993909469793,0.17864142484382797,0.17475854826119686,0.1332483905251952,78.86590959,86.97734509,171.6062613,117.82211234,237.49027272,354.52706247
sample012,1.01667,8.235027e-05,0.1687020604137512,0.16973507697078877,0.18425697829284526,0.16775738951048397,0.1701701431083728,0.139378351703758,168.38574041,217.12527084,263.56619889,108.23176251,163.23306048,88.26835557
sample013,1.00547,8.345401e-05,0.14662158447253898,0.16946512338226222,0.19601516924616708,0.1849070503445856,0.16955421328063694,0.1334368592738091,33.93983645,224.38224244,232.06940053,176.05970148,253.83624217,329.42610005
sample014,0.985812,8.379402e-05,0.1703737974171498,0.15794034661095052,0.17996980877467184,0.1823166456644127,0.1604003472165608,0.14899905431625435,181.14288059,305.99849363,293.11691458,192.65509709,72.30005901,282.31953802
sample015,1.00528,8.243296e-05,0.165023723278389,0.1502684037479774,0.19002109670180273,0.17804013795640455,0.16343704871572245,0.15320958959970393,250.03115247,50.39237432,221.16918616,154.83703518,291.57390579,213.82379835
sample016,0.972409,8.4599583e-05,0.17114504672406394,0.15389518736948288,0.18680298217276448,0.1722544358418806,0.17451602985464776,0.14138631803716017,161.08395759,342.95961763,269.44856277,299.42390074,148.81401898,43.24549982
sample017,1.00372,8.330876e-05,0.1700426525382533,0.16892478112182185,0.19870316850883346,0.18031369498455974,0.15206632013394716,0.12994938271258455,192.54627424,122.5767138,160.81104829,182.24531457,35.24452299,16.19936567
sample018,1.01157,8.294874e-05,0.1735220348174222,0.16667263270680213,0.18726808231583247,0.16460411443350026,0.15682953956236428,0.1511035961640787,157.07996001,127.4457537,128.36997926,99.63115855,73.38203356,159.58599467
sample019,1.00102,8.308466e-05,0.16971028975731128,0.16463394005753548,0.1940745717810537,0.16992788402372688,0.15312762585239537,0.1485256885279772,254.3887226,118.30052392,234.93541617,112.50564209,7.43360445,144.94198739
sample020,0.993304,8.3437536e-05,0.1687380506427179,0.1674510397204803,0.18919332796114602,0.16373429374145365,0.16783266077281717,0.14305062716138495,167.50607996,274.12537552,196.48341921,325.50231424,152.98473439,302.12249587
sample021,0.950357,8.648248700000001e-05,0.16585795375784324,0.18564930267243995,0.18189760172322106,0.16168408416319413,0.16343506854965847,0.14147598913364332,71.80992908,184.89429937,315.68194867,5.27133882,312.29800701,34.1940606
sample022,0.928278,8.7258132e-05,0.1643375122265489,0.15894058734416616,0.17777784441882097,0.1666790119199168,0.17627042402196358,0.15599462006858364,59.20883866,23.64638415,49.51631987,351.63059636,292.93337821,312.45210322
sample023,0.96824,8.520512e-05,0.16594276145603448,0.1599596966164858,0.18140744058856778,0.16920013946510754,0.15797697027688984,0.16551299159691457,94.74324415,308.11354658,294.03581176,299.08609449,39.00320709,175.581159
sample024,0.995238,8.459523e-05,0.15423640745916822,0.1489303815119321,0.19386031743064092,0.19334159472517337,0.17721688471132258,0.1324144141617628,99.57584327,2.8746054,156.08186161,200.72835965,161.44678509,3.03087356
sample025,1.02449,8.298369e-05,0.16258368426409608,0.1666447410455264,0.19026786600619802,0.16678016115669847,0.16522036505820892,0.1485031824692722,120.84591517,151.7902746,158.81695059,106.49846846,125.49547696,163.4144606
sample026,1.00521,8.242721999999999e-05,0.15211237307678876,0.16942549367987048,0.18974974737956168,0.18442747701751286,0.17395529950623068,0.13032960934003557,311.50382255,201.93545882,122.7880073,161.02583717,218.50196081,359.70008574
sample027,0.984743,8.370315500000001e-05,0.1792133671233452,0.15917213304117106,0.1831918998869777,0.16178203030988958,0.155130010648832,0.16151055898978445,179.7515696,306.26094656,269.5949428,66.56979261,345.74544618,172.68944074
sample028,0.970508,8.4434196e-05,0.16735598962543868,0.15599932257718074,0.18170519754821718,0.1803448444071508,0.16117952216120696,0.15341512368080562,276.92208086,327.3713212,108.26474378,271.28618662,71.18101556,281.2993696
sample029,0.973801,8.472068700000001e-05,0.1572611687948708,0.15705470915709274,0.17441869014594424,0.16032473179608808,0.18602042774005811,0.16492027236594609,327.83893289,87.94505005,59.64188924,7.6969691,178.00660109,159.35614399
sample030,0.968925,8.52654e-05,0.1669946479616721,0.17763521903683335,0.17521759004468065,0.16138525007800783,0.17590133019162296,0.1428659626871832,98.27543491,227.93205791,335.82674198,36.31553758,157.98575858,55.64001415
sample031,0.990905,8.4226925e-05,0.17336110488081144,0.17595689823835942,0.17150659354928854,0.1685060511100459,0.17167756931485262,0.13899178290664221,169.13380237,215.3100093,49.78680942,292.06925813,212.33292746,321.02154849
sample032,0.991606,8.3294904e-05,0.1497621754072303,0.1686462975858641,0.1884711187108294,0.16028746263410512,0.17475460578128477,0.1580783398806863,351.99880874,245.57864165,244.47261104,4.84197408,157.74358929,223.34663751
sample033,0.989079,8.4071715e-05,0.16084128569096068,0.16624139199087926,0.18698474597146686,0.18112582629208057,0.15715571314126625,0.14765103691334613,294.57932297,269.93039743,113.7341867,153.23415655,43.52286416,134.5888227
sample034,0.990176,8.416496e-05,0.17953091156341328,0.16900839046049876,0.1823803547362705,0.15926799870155414,0.15385969276289996,0.15595265177536344,221.99745775,269.73720572,273.44117989,29.70025391,351.89034136,148.62584102
sample035,0.959457,8.635113000000001e-05,0.16320326979606398,0.15339265811434183,0.1723156043092098,0.17720314981513463,0.16980389827511627,0.16408141969013346,307.03559051,353.35140626,353.14841072,123.90719788,303.72315793,250.19478665
sample036,0.983292,8.456311200000001e-05,0.1530514807544826,0.16345870745361835,0.2009452340638429,0.18616357060056243,0.1592314831013189,0.1371495240261748,326.82090188,287.91142498,181.00286209,157.37448995,318.84727402,74.75819131
sample037,0.92418,8.779710000000001e-05,0.16470339855849891,0.1604210593813868,0.19555239241447042,0.16707061241967083,0.16457585796757163,0.14767667925840136,48.98271328,29.86206107,284.82348705,358.6105734,55.17562042,16.2685523
sample038,1.01428,8.317096e-05,0.15479862102730574,0.15682578579195505,0.1856944244867299,0.17814444128678636,0.17511034042260465,0.14942638698461838,96.16285348,100.12355733,142.70478335,252.53519773,208.90918237,250.90216404
sample039,0.991959,8.431651500000001e-05,0.17827234387448715,0.16987282613824517,0.19540779501809652,0.16006123639021422,0.1574313687758489,0.13895442980310801,196.18902906,117.90954222,222.15142891,53.20101773,308.33108642,74.51681042
sample040,0.969066,8.5277808e-05,0.15712861896412966,0.17653923426428259,0.18899970680315084,0.16231928546550417,0.16440659122259155,0.1506065632803415,332.11813874,232.91959164,276.89831546,34.33792326,86.88624029,111.22952815
sample041,1.00288,8.323904e-05,0.16082577924457336,0.17875180492177906,0.20170881256840306,0.17493212332377645,0.1514999668422013,0.1322815130992667,105.18260725,199.16461545,173.44046006,137.62426273,25.92842161,57.62199317
