name,k,k_uncert,Q1,Q2,Q3,Q4,Q5,Q6,theta1,theta2,theta3,theta4,theta5,theta6
sample001,1.04912,8.602784e-05,0.17320856425387396,0.17375178362173682,0.18737700470315186,0.1557496213057571,0.16540950042051678,0.1445035256949636,209.79753313,196.88306723,171.68396819,356.22227692,154.2391237,117.15784807
sample002,1.01836,8.65606e-05,0.15309525621549297,0.1579525683530731,0.17238367482223776,0.18128187153850212,0.1798230724765149,0.1554635565941792,337.76164463,116.8620006,10.01656607,150.61036632,131.05301943,147.35032455
sample003,1.01358,8.716788e-05,0.17825392193812023,0.1775132323826979,0.17663383955501494,0.1599053599108517,0.1684185624205461,0.13927508379276904,232.39465645,192.09799441,311.15406879,345.59658896,146.16335626,51.43011134
sample004,1.02152,8.580768e-05,0.16481349207114948,0.1531457080594179,0.18534860505875483,0.17189882409122575,0.17086929581464308,0.15392407490480903,276.52497696,71.99617282,270.7452119,106.1598425,111.16304022,136.54539874
sample005,1.00714,8.661404e-05,0.17235753473875118,0.16834119316890406,0.1986542296417072,0.1590734244879683,0.15893552609406764,0.14263809186860155,123.46474928,103.22386858,221.25525119,7.11190906,78.37886427,72.99616634
sample006,1.01502,8.627670000000001e-05,0.17661040999212163,0.15454596625814385,0.17998983974207766,0.17567658955493898,0.15517161785200648,0.15800557660071138,224.96381859,325.61864136,110.59919441,264.88135147,355.03596798,156.62221019
sample007,1.03608,8.599464e-05,0.16818452931737138,0.17203090964005516,0.19784999667526293,0.1789954326925003,0.15132010087973347,0.1316190307950768,163.80390018,134.75008203,157.45544071,178.94363825,351.02999128,331.65744965
sample008,0.982681,8.844129000000001e-05,0.1592419100449901,0.16975268505478425,0.17448318965663,0.1657427928258898,0.1669205513586443,0.1638588710590614,48.8649176,276.30791382,36.69605005,53.99550443,83.83776949,260.67825497
sample009,0.998447,8.6864889e-05,0.16371873988798086,0.1522209444291044,0.1926554746656267,0.18832593902940709,0.16347622966990805,0.13960267231797296,289.47584398,15.87464388,118.2046521,147.40229816,70.54508567,59.49718468
sample010,1.01482,8.625970000000001e-05,0.15181135886758035,0.16772796958659153,0.1909874951680038,0.16779178935874584,0.1792940137458282,0.1423873732732504,347.87448452,149.48017777,261.83528958,76.05831943,182.07277554,84.50800257
sample011,1.05455,8.436400000000002e-05,0.165321634386919,0.15138543476798028,0.18644470262897292,0.17716954105960636,0.17304155941511493,0.14663712774140628,183.25502412,74.43904489,226.28007757,238.27586136,172.66311039,129.12763659
sample012,1.00286,8.825168e-05,0.1521840452552099,0.16216919567420227,0.18279095742671014,0.18432940197792486,0.1676654349588048,0.150860964707148,25.75097777,290.51958655,292.91331299,245.4511213,298.36341876,123.42075712
sample013,1.03598,8.598634e-05,0.1720113494339317,0.16525492915960044,0.16946121778745998,0.17115248586024034,0.16957017283610795,0.1525498449226595,234.00572378,251.18462448,337.55811239,270.73207789,131.70700676,129.2136647
sample014,1.00906,8.677916000000002e-05,0.15147056144661714,0.1669836640266525,0.19848227857580916,0.17190661919633732,0.17526772901431598,0.13588914774026795,356.70035863,116.34548472,172.56783946,300.84798206,223.7894287,29.64608766
sample015,1.01231,8.604635e-05,0.17203692006019206,0.1514947811616153,0.19070069988285154,0.16616598092943208,0.16574344159608084,0.1538581763698282,139.88319712,5.51652102,160.03583437,76.18356567,292.70737135,126.93700358
sample016,1.00454,8.739498e-05,0.16920502117661704,0.16110072499881406,0.1958844470334628,0.18187630488819473,0.1558199097436923,0.1361135921592192,148.95785507,309.63324281,137.64917297,134.16629446,26.26404274,18.37718618
sample017,1.02599,8.618316e-05,0.16624745849408162,0.15470745823752582,0.1799159699573156,0.18356918428082603,0.1772003869182197,0.13835954211203155,235.07585815,76.75592772,90.18597206,159.22567943,223.64129913,316.25899706
sample018,1.02576,8.616384e-05,0.1546684337105944,0.15175343389990617,0.17735833025597061,0.18167504074220664,0.1779750749187591,0.15656968647256297,307.0871602,319.71758632,92.40961293,149.52883288,253.41600438,222.38000586
sample019,0.969871,8.922813200000001e-05,0.15822901030690287,0.15708148821013584,0.19147190192949246,0.18907942857641957,0.16065496518545228,0.14348320579159682,14.34571352,1.16266763,108.9872638,270.54626838,1.19418914,19.40125976
sample020,0.974822,8.773398e-05,0.18366418113232502,0.15900914071871447,0.17601870918215007,0.16413680805317263,0.17294772938843872,0.14422343152519926,243.76762869,50.01346632,41.86787623,358.14187847,119.49615263,0.2257657
sample021,1.02002,8.67017e-05,0.17309562499855297,0.15507644256084868,0.16921911406776857,0.16211667361740878,0.18133383986677926,0.15915830488864163,244.25297733,309.8218819,27.01009546,57.3071722,175.46672728,134.89736247
sample022,1.03028,8.757380000000001e-05,0.17117054475668964,0.157355548257872,0.1672828727615434,0.1673089598061853,0.17789749055674067,0.15898458386096886,224.05875053,290.18145011,23.07861018,95.53670233,229.83297554,248.47273218
sample023,0.991611,8.924499e-05,0.1533499036643382,0.15293937775142957,0.17585564064436587,0.1878534207710436,0.1884118500192997,0.14158980714952304,18.34743271,40.86602658,56.61415044,261.12276714,218.96076163,42.903121
sample024,1.00904,8.677744e-05,0.16455293669436905,0.15663926827996835,0.17931276999587883,0.18048824927513113,0.17621974180436417,0.14278703395028836,264.84772581,313.80769807,290.65934667,269.74428854,247.99502593,320.05450943
sample025,1.03204,8.565932000000001e-05,0.1824808682636757,0.1735729988377015,0.17032152943991863,0.15582544896219364,0.15786992370400132,0.1599292307925092,199.87746922,204.64432159,41.09261137,33.89035223,80.06383835,189.38143691
sample026,1.03552,8.698368e-05,0.1686926800436448,0.1723229292521066,0.18540639616680185,0.17442093499799438,0.1674128380983818,0.13174422144107062,230.69584456,154.66332606,119.83798804,269.11548081,158.09627637,2.18158234
sample027,1.02943,8.647212e-05,0.14994293256694785,0.15090001554023902,0.1921326840789252,0.17065819104426808,0.1800913957811247,0.156274780988495,35.34604057,60.90171926,202.03048614,95.48059666,170.14800687,202.73596385
sample028,0.982084,8.838756e-05,0.1758722643854046,0.16532149569182422,0.1919045320571411,0.16362924013843672,0.15758567570065624,0.14568679202653712,270.54692203,310.26232186,137.86027847,10.70369424,16.43987639,67.5749849
sample029,1.0313,8.66292e-05,0.16431970933533388,0.1683936082675223,0.1808189495536876,0.1757244062370515,0.17397072242125833,0.13677260418514658,133.89789884,249.16479977,93.43301754,128.75725744,233.51731582,59.23194027
sample030,1.01421,8.722206e-05,0.17774541677932715,0.15090348130290546,0.17555843890623796,0.17789411360377144,0.15849886690208487,0.159399682505673,216.77499163,32.32053171,310.12846643,217.15232208,326.54444693,161.9247737
sample031,1.01974,8.667790000000002e-05,0.17511704580993237,0.15010173644584413,0.18487329976329714,0.16493745290492784,0.16548933607265254,0.15948112900334577,227.94496949,12.03707203,142.81865939,75.50619417,289.84403654,170.57815067
sample032,1.02562,8.71777e-05,0.1499346084739362,0.16618935979226201,0.18227297998898068,0.18760499690851828,0.17750164793859638,0.13649640689770637,39.99247633,151.93553114,89.39176932,214.80403359,188.10063581,317.64159508
sample033,1.03607,8.599381e-05,0.1772892607306542,0.1693800286464784,0.16879601889351553,0.15845114613414046,0.17445171334361287,0.15163183225159862,219.51591706,182.22650651,17.27528381,51.94252092,202.22904185,125.25828546
sample034,1.04873,8.494713e-05,0.17245449776120433,0.16768478362455874,0.17512132553503018,0.15701349129797396,0.17035847902234497,0.15736742275888776,219.42437373,235.53019658,106.97442817,343.38376681,181.37415023,202.82504613
sample035,1.02646,8.622263999999999e-05,0.16632449012459996,0.16427244188281315,0.1836530098342013,0.16751030447292325,0.1675112143824752,0.15072853930298702,266.81897703,127.12750524,267.63851791,306.45523813,135.19433641,272.79513701
sample036,0.988341,8.7962349e-05,0.16740673173438703,0.1622266677301028,0.17951979323860923,0.18709830734944305,0.1641689364253453,0.13957956352211265,115.27347074,306.01898143,57.13662056,156.7652196,69.84889945,24.34985908
sample037,0.967862,9.0011166e-05,0.16372619982907077,0.15586546762227949,0.17482663970025056,0.1713334030905887,0.16094919019117152,0.17329909956663905,330.23229464,8.0442073,350.26738396,312.5530038,17.56587038,204.11169142
sample038,1.03053,8.656451999999999e-05,0.17225269583134079,0.17554806079288482,0.18646185591221198,0.17686690930695975,0.1540024859506654,0.1348679922059375,175.37637093,233.87409988,111.19809693,164.92626047,331.58157539,59.86352841
sample039,1.04613,8.578266e-05,0.16988256583882785,0.1664468060069808,0.16935873607990343,0.17275563821224216,0.1662514187055971,0.1553048351564487,148.22564326,182.51653007,343.13437314,166.355807,114.9071202,218.61048326
sample040,1.00546,8.848048e-05,0.15900131710732385,0.18708186379003305,0.20503625951601223,0.16192798704365607,0.1529671207066107,0.13398545183636418,67.33725554,196.43876504,171.69505453,48.17267167,13.28915063,21.43837423
sample041,0.988621,8.798726899999999e-05,0.16242884370517097,0.15695377949117145,0.1729655210132042,0.17363498122991095,0.18693021012438937,0.14708666443615298,95.01136536,323.95446037,10.97351931,89.02200894,181.53858211,317.45514485
sample042,1.00079,8.706873000000001e-05,0.16425991610188212,0.15355821851861526,0.19076292535003275,0.1721734804273835,0.1591518988443912,0.16009356075769515,294.7614709,33.42216481,155.74188566,294.07419645,50.66831549,178.23193562
sample043,0.985863,8.7741807e-05,0.15798645026043934,0.18370698811319797,0.18813457974302447,0.16385854442899522,0.15835704072637374,0.1479563967279694,348.25859758,227.89954472,95.89268373,43.85288809,344.22070555,100.9125493
sample044,1.0262,8.62008e-05,0.16584681400440446,0.15234073227571576,0.170102882109508,0.16916626063040338,0.18216235947672615,0.16038095150324244,260.85956766,315.79279156,326.23146143,97.92530633,205.10368404,241.60821667
sample045,0.998093,8.783218399999999e-05,0.15430805510510096,0.16036686983720838,0.18149587138462386,0.17595154727898865,0.17877406631529352,0.14910359007878438,58.49936488,302.85548314,293.43413759,291.58389702,164.28775348,299.60827319
sample046,1.01572,8.633620000000001e-05,0.15729019186114956,0.15938701909422734,0.17078932772544062,0.1876256731597569,0.18247825736837678,0.14242953079104886,100.82575102,287.70948088,345.6918111,201.64524829,190.38151759,310.11657389
sample047,1.00621,8.653406000000001e-05,0.174893449365488,0.16313555894620896,0.1733944811348091,0.16783457861689055,0.167405877798458,0.1533360541381455,122.00058734,101.73991346,15.37234701,103.16348981,293.04375414,113.96901377
