theta,j,j_abs_uncert
2.50000000E+00,1.40126730E-03,1.48534334E-06
7.50000000E+00,1.38806849E-03,1.47135260E-06
1.25000000E+01,1.38375920E-03,1.46678475E-06
1.75000000E+01,1.38640412E-03,1.48345241E-06
2.25000000E+01,1.39995129E-03,1.49794788E-06
2.75000000E+01,1.41880120E-03,1.50392928E-06
3.25000000E+01,1.44606326E-03,1.51836643E-06
3.75000000E+01,1.48158264E-03,1.54084595E-06
4.25000000E+01,1.52535934E-03,1.57112012E-06
4.75000000E+01,1.57959962E-03,1.61119161E-06
5.25000000E+01,1.63853624E-03,1.63853624E-06
5.75000000E+01,1.70760099E-03,1.69052498E-06
6.25000000E+01,1.78432956E-03,1.73079967E-06
6.75000000E+01,1.86923804E-03,1.77577614E-06
7.25000000E+01,1.96393918E-03,1.82646344E-06
7.75000000E+01,2.06309154E-03,1.87741330E-06
8.25000000E+01,2.17173982E-03,1.95456584E-06
8.75000000E+01,2.28771646E-03,2.01319049E-06
9.25000000E+01,2.40779597E-03,2.04662657E-06
9.75000000E+01,2.54015824E-03,2.10833134E-06
1.02500000E+02,2.67448162E-03,2.16633011E-06
1.07500000E+02,2.81756550E-03,2.25405240E-06
1.12500000E+02,2.96151382E-03,2.28036564E-06
1.17500000E+02,3.11028752E-03,2.36381851E-06
1.22500000E+02,3.26169323E-03,2.41365299E-06
1.27500000E+02,3.41102171E-03,2.45593563E-06
1.32500000E+02,3.55503454E-03,2.48852418E-06
1.37500000E+02,3.69478969E-03,2.54940489E-06
1.42500000E+02,3.82770675E-03,2.56456352E-06
1.47500000E+02,3.94942481E-03,2.60662038E-06
1.52500000E+02,4.06253720E-03,2.64064918E-06
1.57500000E+02,4.16290236E-03,2.66425751E-06
1.62500000E+02,4.25135890E-03,2.72086970E-06
1.67500000E+02,4.32549416E-03,2.72506132E-06
1.72500000E+02,4.38560487E-03,2.76293107E-06
1.77500000E+02,4.43449079E-03,2.74938429E-06
1.82500000E+02,4.46348173E-03,2.76735867E-06
1.87500000E+02,4.48239615E-03,2.73426165E-06
1.92500000E+02,4.48541523E-03,2.73610329E-06
1.97500000E+02,4.47442268E-03,2.72939783E-06
2.02500000E+02,4.44669614E-03,2.75695161E-06
2.07500000E+02,4.40228724E-03,2.72941809E-06
2.12500000E+02,4.34589232E-03,2.73791216E-06
2.17500000E+02,4.27453101E-03,2.73569984E-06
2.22500000E+02,4.18714533E-03,2.72164447E-06
2.27500000E+02,4.08705112E-03,2.69745374E-06
2.32500000E+02,3.97528055E-03,2.66343797E-06
2.37500000E+02,3.85446563E-03,2.62103663E-06
2.42500000E+02,3.72507083E-03,2.57029888E-06
2.47500000E+02,3.59057973E-03,2.54931161E-06
2.52500000E+02,3.45118583E-03,2.48485380E-06
2.57500000E+02,3.30962439E-03,2.44912205E-06
2.62500000E+02,3.16669534E-03,2.40668846E-06
2.67500000E+02,3.02694019E-03,2.33074394E-06
2.72500000E+02,2.88904293E-03,2.28234392E-06
2.77500000E+02,2.75212624E-03,2.22922225E-06
2.82500000E+02,2.61785446E-03,2.14664066E-06
2.87500000E+02,2.48892414E-03,2.09069628E-06
2.92500000E+02,2.36685772E-03,2.03549764E-06
2.97500000E+02,2.25168100E-03,1.98147928E-06
3.02500000E+02,2.14069745E-03,1.92662771E-06
3.07500000E+02,2.03883566E-03,1.87572881E-06
3.12500000E+02,1.94550214E-03,1.82877201E-06
3.17500000E+02,1.85700688E-03,1.76415654E-06
3.22500000E+02,1.77666573E-03,1.72336576E-06
3.27500000E+02,1.70295625E-03,1.68592668E-06
3.32500000E+02,1.63844593E-03,1.65483039E-06
3.37500000E+02,1.57943189E-03,1.61102053E-06
3.42500000E+02,1.52800427E-03,1.57384440E-06
3.47500000E+02,1.48531134E-03,1.54472379E-06
3.52500000E+02,1.45047577E-03,1.52299956E-06
3.57500000E+02,1.42148483E-03,1.49255907E-06
