theta,j,j_abs_uncert
2.50000000E+00,1.40173187E-03,1.48583578E-06
7.50000000E+00,1.38929434E-03,1.47265200E-06
1.25000000E+01,1.38469895E-03,1.48162788E-06
1.75000000E+01,1.38901962E-03,1.48625099E-06
2.25000000E+01,1.39992119E-03,1.49791567E-06
2.75000000E+01,1.41971384E-03,1.50489667E-06
3.25000000E+01,1.44651196E-03,1.51883756E-06
3.75000000E+01,1.48202635E-03,1.54130741E-06
4.25000000E+01,1.52645680E-03,1.57225050E-06
4.75000000E+01,1.57964097E-03,1.59543738E-06
5.25000000E+01,1.64109184E-03,1.64109184E-06
5.75000000E+01,1.71017257E-03,1.67596912E-06
6.25000000E+01,1.78505998E-03,1.73150818E-06
6.75000000E+01,1.86892588E-03,1.77547958E-06
7.25000000E+01,1.96224480E-03,1.82488766E-06
7.75000000E+01,2.06314362E-03,1.87746069E-06
8.25000000E+01,2.17023623E-03,1.93151024E-06
8.75000000E+01,2.28621992E-03,1.98901133E-06
9.25000000E+01,2.40816014E-03,2.04693612E-06
9.75000000E+01,2.53857936E-03,2.10702087E-06
1.02500000E+02,2.67168339E-03,2.19078038E-06
1.07500000E+02,2.81205512E-03,2.24964410E-06
1.12500000E+02,2.95854573E-03,2.30766567E-06
1.17500000E+02,3.10777109E-03,2.36190602E-06
1.22500000E+02,3.25753341E-03,2.41057472E-06
1.27500000E+02,3.40492311E-03,2.48559387E-06
1.32500000E+02,3.55071441E-03,2.52100723E-06
1.37500000E+02,3.69192281E-03,2.54742674E-06
1.42500000E+02,3.82576360E-03,2.60151925E-06
1.47500000E+02,3.94752899E-03,2.64484442E-06
1.52500000E+02,4.06021599E-03,2.67974255E-06
1.57500000E+02,4.16213879E-03,2.70539021E-06
1.62500000E+02,4.24997570E-03,2.71998445E-06
1.67500000E+02,4.32530017E-03,2.72493911E-06
1.72500000E+02,4.38531499E-03,2.76274844E-06
1.77500000E+02,4.43023245E-03,2.74674412E-06
1.82500000E+02,4.46180079E-03,2.76631649E-06
1.87500000E+02,4.48220533E-03,2.77896730E-06
1.92500000E+02,4.48325428E-03,2.77961765E-06
1.97500000E+02,4.47003004E-03,2.77141862E-06
2.02500000E+02,4.44373141E-03,2.75511347E-06
2.07500000E+02,4.40182343E-03,2.77314876E-06
2.12500000E+02,4.34403139E-03,2.78018009E-06
2.17500000E+02,4.27211600E-03,2.73415424E-06
2.22500000E+02,4.18710125E-03,2.72161581E-06
2.27500000E+02,4.08706407E-03,2.69746229E-06
2.32500000E+02,3.97536358E-03,2.66349360E-06
2.37500000E+02,3.85468459E-03,2.65973237E-06
2.42500000E+02,3.72727486E-03,2.60909240E-06
2.47500000E+02,3.59312188E-03,2.55111654E-06
2.52500000E+02,3.45393646E-03,2.52137361E-06
2.57500000E+02,3.31015564E-03,2.44951517E-06
2.62500000E+02,3.17120747E-03,2.41011768E-06
2.67500000E+02,3.03017390E-03,2.36353564E-06
2.72500000E+02,2.88990206E-03,2.31192165E-06
2.77500000E+02,2.75275209E-03,2.22972919E-06
2.82500000E+02,2.61971050E-03,2.17435972E-06
2.87500000E+02,2.49256300E-03,2.11867855E-06
2.92500000E+02,2.36951140E-03,2.06147492E-06
2.97500000E+02,2.25520103E-03,2.00712891E-06
3.02500000E+02,2.14717186E-03,1.93245467E-06
3.07500000E+02,2.04385047E-03,1.88034243E-06
3.12500000E+02,1.94718490E-03,1.83035381E-06
3.17500000E+02,1.85978504E-03,1.78539364E-06
3.22500000E+02,1.77950305E-03,1.74391299E-06
3.27500000E+02,1.70427848E-03,1.68723570E-06
3.32500000E+02,1.63936857E-03,1.63936857E-06
3.37500000E+02,1.58044016E-03,1.62785337E-06
3.42500000E+02,1.52935389E-03,1.59052805E-06
3.47500000E+02,1.48566021E-03,1.55994322E-06
3.52500000E+02,1.44973373E-03,1.52222042E-06
3.57500000E+02,1.42269834E-03,1.50806025E-06
