train samples            , test samples            , learning_rate           , num_layers              , nodes_per_layer         , r2                      , mae                     , mse                     , time                    
2100                     , 444                     , 5.0050E-03              , 12                      , 77                      , -5.6947E-05             , 1.7143E-01              , 4.0670E-02              , 2023-03-20 15:13:59.126870
2100                     , 444                     , 7.9196E-03              , 11                      , 55                      , -3.2663E-04             , 1.7147E-01              , 4.0682E-02              , 2023-03-20 15:14:58.389041
2100                     , 444                     , 4.8038E-03              , 6                       , 24                      , 9.9346E-01              , 1.1953E-02              , 2.3202E-04              , 2023-03-20 15:23:44.464299
2100                     , 444                     , 6.4504E-03              , 11                      , 66                      , -9.7586E-05             , 1.7138E-01              , 4.0672E-02              , 2023-03-20 15:24:58.187424
2100                     , 444                     , 8.5102E-03              , 17                      , 133                     , -1.8174E-04             , 1.7148E-01              , 4.0674E-02              , 2023-03-20 15:28:21.849811
2100                     , 444                     , 2.5120E-04              , 8                       , 18                      , 1.4418E-01              , 1.5241E-01              , 3.4148E-02              , 2023-03-20 15:29:31.695077
2100                     , 444                     , 8.3481E-04              , 6                       , 42                      , 9.9661E-01              , 8.5815E-03              , 1.2407E-04              , 2023-03-20 15:32:57.981058
2100                     , 444                     , 6.6698E-04              , 15                      , 53                      , 5.7513E-01              , 9.3804E-02              , 1.6222E-02              , 2023-03-20 15:34:55.595098
2100                     , 444                     , 3.6990E-03              , 14                      , 48                      , -2.0848E-04             , 1.7137E-01              , 4.0677E-02              , 2023-03-20 15:36:42.376407
2100                     , 444                     , 1.6676E-03              , 12                      , 78                      , 5.9320E-01              , 9.3103E-02              , 1.5624E-02              , 2023-03-20 15:37:47.199103
2100                     , 444                     , 2.6677E-03              , 6                       , 114                     , 9.9792E-01              , 6.6802E-03              , 7.1992E-05              , 2023-03-20 15:40:10.907447
2100                     , 444                     , 2.3932E-03              , 6                       , 73                      , 9.9844E-01              , 5.7882E-03              , 5.4421E-05              , 2023-03-20 15:45:23.455238
2100                     , 444                     , 2.4677E-03              , 6                       , 5                       , -9.8441E-05             , 1.7146E-01              , 4.0671E-02              , 2023-03-20 15:47:26.852522
2100                     , 444                     , 4.7736E-03              , 5                       , 44                      , 9.9594E-01              , 9.4813E-03              , 1.4693E-04              , 2023-03-20 15:49:27.222848
2100                     , 444                     , 3.3330E-03              , 6                       , 48                      , 9.9731E-01              , 7.4970E-03              , 9.2653E-05              , 2023-03-20 16:06:07.884398
2100                     , 444                     , 3.6878E-03              , 6                       , 91                      , 9.9806E-01              , 6.3820E-03              , 6.4845E-05              , 2023-03-20 16:09:38.093564
2100                     , 444                     , 6.8900E-03              , 6                       , 34                      , -2.6142E-04             , 1.7140E-01              , 4.0680E-02              , 2023-03-20 16:10:29.960906
2100                     , 444                     , 3.4917E-03              , 5                       , 67                      , 9.9800E-01              , 6.4220E-03              , 6.7276E-05              , 2023-03-20 16:14:24.623234
2100                     , 444                     , 1.6797E-03              , 5                       , 52                      , 9.9820E-01              , 6.3297E-03              , 6.5320E-05              , 2023-03-20 16:20:02.834657
2100                     , 444                     , 2.9055E-03              , 5                       , 97                      , 9.9846E-01              , 5.8391E-03              , 5.5937E-05              , 2023-03-20 16:22:49.532128
2100                     , 444                     , 3.9197E-03              , 5                       , 127                     , 9.9794E-01              , 6.7134E-03              , 7.3291E-05              , 2023-03-20 16:24:13.031652
2100                     , 444                     , 2.6905E-03              , 5                       , 150                     , 9.9873E-01              , 5.1890E-03              , 4.3945E-05              , 2023-03-20 16:28:28.879916
2100                     , 444                     , 3.3782E-03              , 8                       , 150                     , 5.9484E-01              , 9.2028E-02              , 1.5553E-02              , 2023-03-20 16:29:20.155274
2100                     , 444                     , 2.3399E-04              , 5                       , 75                      , 9.9818E-01              , 6.2488E-03              , 6.9354E-05              , 2023-03-20 22:06:57.508573
2100                     , 444                     , 8.8457E-04              , 6                       , 61                      , 9.9842E-01              , 5.8770E-03              , 5.7649E-05              , 2023-03-20 22:11:14.801453
