train samples            , test samples            , learning_rate           , num_layers              , nodes_per_layer         , r2                      , mae                     , mse                     , time                    
2100                     , 444                     , 5.0500E-03              , 12                      , 102                     , -5.1284E-03             , 1.6726E-01              , 4.0816E-02              , 2023-03-20 22:39:29.713537
2100                     , 444                     , 3.8474E-03              , 9                       , 41                      , 4.7248E-01              , 1.1331E-01              , 2.1372E-02              , 2023-03-20 22:40:31.691725
2100                     , 444                     , 3.4162E-03              , 18                      , 191                     , -8.3706E-03             , 1.6683E-01              , 4.0839E-02              , 2023-03-20 22:41:53.482990
2100                     , 444                     , 1.5531E-03              , 6                       , 46                      , 9.9823E-01              , 6.3416E-03              , 6.6310E-05              , 2023-03-20 22:48:05.057393
2100                     , 444                     , 4.9151E-04              , 14                      , 27                      , 4.3923E-01              , 1.1847E-01              , 2.2767E-02              , 2023-03-20 22:51:35.244831
2100                     , 444                     , 7.1595E-04              , 8                       , 23                      , 9.9594E-01              , 9.7279E-03              , 1.5804E-04              , 2023-03-20 23:02:41.370641
2100                     , 444                     , 2.5160E-03              , 18                      , 66                      , -6.7098E-03             , 1.6724E-01              , 4.0804E-02              , 2023-03-20 23:03:57.397379
2100                     , 444                     , 3.4870E-03              , 20                      , 45                      , -7.0256E-03             , 1.6713E-01              , 4.0825E-02              , 2023-03-20 23:05:23.236396
2100                     , 444                     , 9.0223E-03              , 7                       , 66                      , 9.2058E-01              , 3.2038E-02              , 2.0623E-03              , 2023-03-20 23:08:04.676800
2100                     , 444                     , 5.0490E-03              , 16                      , 17                      , -6.7954E-03             , 1.6720E-01              , 4.0802E-02              , 2023-03-20 23:09:31.971320
2100                     , 444                     , 7.6563E-03              , 14                      , 38                      , -4.5266E-03             , 1.6723E-01              , 4.0793E-02              , 2023-03-20 23:11:03.620283
2100                     , 444                     , 1.0000E-04              , 5                       , 5                       , 1.4207E-01              , 1.5267E-01              , 3.4590E-02              , 2023-03-20 23:14:38.051274
2100                     , 444                     , 2.0547E-04              , 7                       , 191                     , 9.9885E-01              , 5.0772E-03              , 4.5027E-05              , 2023-03-20 23:19:00.943931
2100                     , 444                     , 1.0000E-04              , 6                       , 20                      , 8.0452E-01              , 6.2439E-02              , 7.9855E-03              , 2023-03-20 23:27:44.981073
2100                     , 444                     , 1.0000E-04              , 7                       , 29                      , 8.1068E-01              , 6.0901E-02              , 7.7024E-03              , 2023-03-20 23:33:30.956638
2100                     , 444                     , 9.9610E-03              , 7                       , 196                     , 9.2351E-01              , 2.9045E-02              , 1.8192E-03              , 2023-03-20 23:34:57.815143
2100                     , 444                     , 9.8482E-03              , 8                       , 200                     , -5.2218E-03             , 1.6725E-01              , 4.0816E-02              , 2023-03-20 23:36:24.443687
2100                     , 444                     , 5.3950E-03              , 6                       , 143                     , 9.9692E-01              , 8.5612E-03              , 1.2145E-04              , 2023-03-20 23:39:39.050773
2100                     , 444                     , 5.0899E-03              , 7                       , 194                     , 9.9680E-01              , 8.7395E-03              , 1.2520E-04              , 2023-03-20 23:42:49.026621
2100                     , 444                     , 5.9791E-03              , 6                       , 178                     , 9.9663E-01              , 8.8801E-03              , 1.3076E-04              , 2023-03-20 23:44:35.261076
2100                     , 444                     , 1.0000E-02              , 6                       , 17                      , -3.2249E-03             , 1.6728E-01              , 4.0796E-02              , 2023-03-20 23:45:22.441227
2100                     , 444                     , 1.0000E-04              , 6                       , 159                     , 9.9837E-01              , 5.9288E-03              , 6.4853E-05              , 2023-03-20 23:53:42.348945
2100                     , 444                     , 1.0000E-04              , 7                       , 147                     , 9.9847E-01              , 5.7048E-03              , 5.9644E-05              , 2023-03-21 00:01:33.418619
2100                     , 444                     , 1.0000E-04              , 6                       , 200                     , 9.9847E-01              , 5.7012E-03              , 5.9744E-05              , 2023-03-21 00:07:04.567572
2100                     , 444                     , 2.6297E-03              , 6                       , 167                     , 9.9767E-01              , 7.4731E-03              , 9.1771E-05              , 2023-03-21 00:09:59.459556
2100                     , 444                     , 1.0000E-04              , 6                       , 82                      , 8.1218E-01              , 6.0810E-02              , 7.6911E-03              , 2023-03-21 00:11:26.969841
2100                     , 444                     , 1.0000E-04              , 6                       , 200                     , 9.9857E-01              , 5.5185E-03              , 5.6874E-05              , 2023-03-21 00:18:37.442062
2100                     , 444                     , 2.0367E-03              , 6                       , 200                     , 9.9775E-01              , 7.1798E-03              , 8.6772E-05              , 2023-03-21 00:20:43.782958
2100                     , 444                     , 3.3224E-03              , 6                       , 36                      , 9.9380E-01              , 1.2338E-02              , 2.4874E-04              , 2023-03-21 00:23:07.150083
2100                     , 444                     , 1.0000E-04              , 8                       , 200                     , 9.9874E-01              , 5.1737E-03              , 4.8128E-05              , 2023-03-21 00:30:21.376558
