theta,j,j_abs_uncert
2.50000000E+00,1.40000800E-03,1.48400848E-06
7.50000000E+00,1.38713313E-03,1.48423245E-06
1.25000000E+01,1.38447622E-03,1.46754479E-06
1.75000000E+01,1.38772908E-03,1.47099282E-06
2.25000000E+01,1.39977210E-03,1.48375843E-06
2.75000000E+01,1.41711654E-03,1.48797237E-06
3.25000000E+01,1.44513830E-03,1.51739522E-06
3.75000000E+01,1.48079559E-03,1.54002742E-06
4.25000000E+01,1.52694397E-03,1.57275229E-06
4.75000000E+01,1.57882831E-03,1.61040488E-06
5.25000000E+01,1.63869581E-03,1.63869581E-06
5.75000000E+01,1.70777560E-03,1.69069784E-06
6.25000000E+01,1.78514894E-03,1.73159447E-06
6.75000000E+01,1.87054268E-03,1.77701555E-06
7.25000000E+01,1.96199519E-03,1.82465553E-06
7.75000000E+01,2.06243651E-03,1.87681722E-06
8.25000000E+01,2.17036437E-03,1.93162429E-06
8.75000000E+01,2.28605192E-03,2.01172569E-06
9.25000000E+01,2.40971021E-03,2.07235078E-06
9.75000000E+01,2.54061914E-03,2.13412008E-06
1.02500000E+02,2.67584867E-03,2.19419591E-06
1.07500000E+02,2.81727352E-03,2.28199155E-06
1.12500000E+02,2.96377632E-03,2.31174553E-06
1.17500000E+02,3.11144616E-03,2.36469908E-06
1.22500000E+02,3.26132597E-03,2.44599448E-06
1.27500000E+02,3.41028703E-03,2.48950953E-06
1.32500000E+02,3.55669050E-03,2.52525025E-06
1.37500000E+02,3.69689864E-03,2.58782904E-06
1.42500000E+02,3.82980646E-03,2.60426840E-06
1.47500000E+02,3.95417244E-03,2.64929553E-06
1.52500000E+02,4.06524142E-03,2.68305934E-06
1.57500000E+02,4.16609245E-03,2.70796009E-06
1.62500000E+02,4.25354717E-03,2.72227019E-06
1.67500000E+02,4.32771731E-03,2.72646191E-06
1.72500000E+02,4.38938505E-03,2.72141873E-06
1.77500000E+02,4.43586865E-03,2.75023856E-06
1.82500000E+02,4.46777646E-03,2.77002141E-06
1.87500000E+02,4.48338273E-03,2.77969730E-06
1.92500000E+02,4.48620105E-03,2.78144465E-06
1.97500000E+02,4.47367382E-03,2.72894103E-06
2.02500000E+02,4.44361592E-03,2.75504187E-06
2.07500000E+02,4.40132876E-03,2.72882383E-06
2.12500000E+02,4.34508658E-03,2.73740455E-06
2.17500000E+02,4.27296500E-03,2.73469760E-06
2.22500000E+02,4.18673941E-03,2.72138062E-06
2.27500000E+02,4.08716717E-03,2.69753034E-06
2.32500000E+02,3.97612302E-03,2.66400243E-06
2.37500000E+02,3.85551895E-03,2.62175288E-06
2.42500000E+02,3.72905476E-03,2.57304778E-06
2.47500000E+02,3.59245953E-03,2.55064626E-06
2.52500000E+02,3.45364192E-03,2.52115860E-06
2.57500000E+02,3.31210533E-03,2.45095794E-06
2.62500000E+02,3.16964998E-03,2.40893399E-06
2.67500000E+02,3.02428942E-03,2.32870285E-06
2.72500000E+02,2.88476413E-03,2.27896366E-06
2.77500000E+02,2.74878968E-03,2.22651964E-06
2.82500000E+02,2.61627914E-03,2.17151169E-06
2.87500000E+02,2.48816369E-03,2.09005750E-06
2.92500000E+02,2.36681468E-03,2.03546063E-06
2.97500000E+02,2.24797361E-03,1.97821677E-06
3.02500000E+02,2.14030647E-03,1.90487276E-06
3.07500000E+02,2.03849944E-03,1.85503449E-06
3.12500000E+02,1.94235388E-03,1.82581265E-06
3.17500000E+02,1.85400525E-03,1.76130499E-06
3.22500000E+02,1.77435988E-03,1.72112908E-06
3.27500000E+02,1.70129471E-03,1.68428177E-06
3.32500000E+02,1.63453662E-03,1.63453662E-06
3.37500000E+02,1.57721430E-03,1.60875858E-06
3.42500000E+02,1.52577692E-03,1.57155023E-06
3.47500000E+02,1.48348976E-03,1.54282935E-06
3.52500000E+02,1.44808078E-03,1.52048481E-06
3.57500000E+02,1.41972380E-03,1.50490722E-06
