name,k,k_uncert,Q1,Q2,Q3,Q4,Q5,Q6,theta1,theta2,theta3,theta4,theta5,theta6
sample001,0.889929,8.4543255e-05,0.16428261000422606,0.17096935939716246,0.1639396467395633,0.1660498637145073,0.1642965726220576,0.17046194752248345,31.90975652,79.86116207,3.97789149,340.46923097,35.10869253,319.77602693
sample002,0.955622,8.2183492e-05,0.17796065270834693,0.16103973252174208,0.1557958190823949,0.16038200073457848,0.1769357313615666,0.16788606359137104,223.66751866,310.10140567,347.06976773,72.48930648,150.47258052,103.65211033
sample003,0.925414,8.4212674e-05,0.1619045562347886,0.17739841054208155,0.16089673972823362,0.16149959301852695,0.158975662043715,0.17932503843265407,68.03250422,264.62232921,337.32467318,329.65356662,351.21199463,256.83436493
sample004,0.962026,8.2734236e-05,0.1628260303968742,0.18095952867294568,0.17495733160069254,0.15227167611330877,0.17241074319437288,0.15657469002180574,101.63642535,221.0854674,240.44232111,1.99022973,209.55743176,329.47316592
sample005,0.949982,8.2648434e-05,0.17409769548423612,0.15479500406840058,0.17432413092209573,0.16764353172548424,0.16580350509595312,0.16333613270383007,151.32020578,349.33280179,254.48804523,103.50819422,96.51633722,75.72681948
sample006,0.933976,8.3123864e-05,0.15930546285165864,0.16475037982877713,0.18365033369377146,0.15614092754710723,0.15647053519022036,0.1796823608884652,328.72198703,83.00692681,174.68705011,14.96938604,10.92900547,230.30800988
sample007,0.991766,8.1324812e-05,0.1724478266028432,0.16974921538731025,0.1615922270512582,0.16248386044756738,0.1699403855393167,0.16378648497170437,219.62490909,242.99382839,120.80328958,277.48826968,172.70687577,115.54334217
sample008,0.950346,8.2680102e-05,0.17697802629019083,0.17485521771993381,0.16006301370659376,0.1699511781091418,0.16051946916855847,0.15763309500558143,251.8099028,139.26370438,65.67803029,118.77440771,65.90896885,57.49981819
sample009,0.927398,8.5320616e-05,0.16245499840774735,0.1610455016297084,0.1595489976228527,0.16034669941228447,0.18157493858417892,0.17502886434322806,322.43158826,45.93102572,9.07280501,333.63917973,138.62801742,113.01415194
sample010,0.924851,8.4161441e-05,0.16036413869568694,0.18710791543200675,0.163932814412091,0.1614414501272698,0.16356112338866524,0.16359255794428051,49.9181208,177.35694365,68.21557875,59.635929,62.22249226,72.89786309
sample011,0.969343,8.2394155e-05,0.174642651131167,0.1709577603824936,0.17270381918771643,0.168007885362919,0.15467036288923822,0.15901752104646577,170.60696436,260.96894591,246.06414853,266.51595299,41.30584597,74.84867937
sample012,0.962375,8.3726625e-05,0.15226186729234029,0.17848273494086458,0.1787869220272693,0.15579302254220684,0.17550203695828703,0.15917341623903208,352.98185623,199.86214231,178.82269858,56.04979707,190.29166013,74.75900933
sample013,0.923819,8.499134799999999e-05,0.17878395498723426,0.1567028780962656,0.1796796291493789,0.16068121057881818,0.1643235513293192,0.15982877585898392,255.85872577,9.31472243,151.44126815,40.73875034,316.55944035,347.33058575
sample014,0.962748,8.2796328e-05,0.15540393764110683,0.16345226644037142,0.1744898351308661,0.16151452697314622,0.17148944507418543,0.173649988740324,57.52940078,294.07043747,238.90577462,94.62041912,262.46180219,246.54979818
sample015,0.99234,8.137188e-05,0.1533961582932701,0.16677607444498319,0.16683700212991392,0.17247880748404237,0.1749041224261247,0.16560783522166572,50.07294026,145.76805795,128.97191467,166.12047953,201.27939307,136.90237897
sample016,0.956622,8.3226114e-05,0.174098015809696,0.15381748056478606,0.17561065406829124,0.16149389298590128,0.17311839391843076,0.16186156265289459,166.84563665,359.58918683,186.19599471,79.17420371,252.41976921,80.60790082
sample017,0.9598,8.35026e-05,0.15453059191240906,0.16118931556453525,0.18065928346953103,0.177601275922142,0.15336579770299796,0.17265373542838466,11.46750073,86.87782782,158.69395047,169.73523548,344.92547979,196.15779433
sample018,0.976602,8.1057966e-05,0.16705702769858743,0.16701072014813634,0.15192620986442443,0.1738407352882157,0.17154417954423212,0.1686211274564039,122.78752365,262.84994108,5.59212413,213.26418231,133.00070829,123.23156546
