name,k,k_uncert,Q1,Q2,Q3,Q4,Q5,Q6,theta1,theta2,theta3,theta4,theta5,theta6
sample001,1.0428,8.55096e-05,0.16963830011955405,0.16598084563956755,0.17462010349822485,0.17277630288251433,0.15521286874167672,0.16177157911846263,158.51657401,121.86791187,224.37301302,180.54690026,66.57397058,285.04049022
sample002,1.00996,8.786652e-05,0.17751699706116156,0.16328641174879782,0.15626514957765042,0.15703005857136032,0.1756899214113747,0.17021146162965528,207.93589999,301.26024673,39.030248,336.49978347,233.31946971,277.13244834
sample003,1.00666,8.757942000000001e-05,0.16352357934246434,0.16945618581107258,0.15715085097407908,0.15573277606081215,0.17180357434939436,0.1823330334621775,301.79286819,131.51063681,15.03873943,17.00490554,122.37394327,216.19373849
sample004,0.980926,8.828334e-05,0.15890186248156968,0.16018670952988723,0.16014516410116356,0.1673760366404442,0.17208040046294726,0.18130982678398805,352.10380032,359.60489037,4.79820606,86.79441879,92.67281311,140.85994023
sample005,1.04952,8.501112e-05,0.1710640901034458,0.1680429138726746,0.15735051694598634,0.16831093158910704,0.16529143309052002,0.16994011439826612,235.55388508,168.57177278,300.91172607,215.89558917,264.52712515,232.02206794
sample006,1.03419,8.583777e-05,0.1729899357557747,0.1692046871507613,0.17377366658046017,0.1671407314388402,0.16362027257492118,0.15327070649924238,175.69707038,121.28262411,150.54510923,114.51154367,112.10001221,20.29197527
sample007,1.00632,8.754984000000002e-05,0.1612378634967832,0.1695993318638258,0.15459148832548586,0.18226404107122868,0.17676846649676356,0.1555388087459128,66.48279875,125.50608829,344.55248735,191.98593078,140.22621378,29.0080318
sample008,1.03953,8.524146000000001e-05,0.16519547174535926,0.15205020518759585,0.16413019662648076,0.17498090245319936,0.17244534886967056,0.1711978751176942,268.85116254,14.35667521,274.53456782,199.85634589,143.75347656,152.05337514
sample009,0.994114,8.8476146e-05,0.17854465571273104,0.1711717950949415,0.15850395542829865,0.16008778543406313,0.17511612958260558,0.15657567874736011,164.80856791,284.19031668,336.24188841,51.04271541,140.19575093,29.09985681
sample010,1.06846,8.440833999999999e-05,0.16826936756139207,0.16914901504611532,0.16842689621613474,0.1674725861719125,0.16172242682601884,0.16495970817842673,206.74105313,214.3303793,171.38531428,189.89465591,263.66897419,239.58402458
sample011,0.972974,8.8540634e-05,0.1614377877371319,0.16298673799904187,0.18473962429508323,0.16204341529907224,0.1665928162935179,0.16219961837615293,342.21876912,62.75154806,246.29976838,330.30465861,89.25059848,347.18121081
sample012,1.02898,8.643432e-05,0.1545741972723365,0.16670443826714415,0.1732750031147016,0.17612369805738948,0.16670390900604448,0.16261875428238387,342.9172701,270.71588089,156.11392644,225.48940512,273.73307822,289.1867921
sample013,1.03932,8.522424e-05,0.17456921498149186,0.15933502548370893,0.17191692013352308,0.1689840253589161,0.15277630445586166,0.1724185095864983,178.83593444,90.48514623,231.80451732,243.93751445,329.34877428,214.09843347
sample014,1.00756,8.765772e-05,0.1561903291925944,0.17194769790933584,0.18076529560805754,0.1604198216748743,0.15602208584130656,0.17465476977383135,334.49425579,126.58941529,177.49091051,312.62985121,349.62729458,185.14900062
sample015,1.01717,8.747661999999999e-05,0.1670827471301205,0.18138498716929907,0.1799859811824907,0.15583680528595262,0.15593926769625407,0.15977021153588272,107.97575108,165.63259118,219.62326823,47.56588416,13.86273191,70.535997
sample016,1.00712,8.761944e-05,0.15782484022743148,0.15717749814388077,0.1698910944040359,0.17871751818276002,0.1801578731461266,0.1562311758957651,2.28081418,347.27464143,126.78770197,256.03696198,199.30368589,346.8380688
sample017,1.01571,8.633535e-05,0.15924752010767332,0.18053061099064588,0.17760400257614695,0.15553024681269864,0.17176801109822987,0.15531960841460524,77.18392549,228.00312526,182.93015097,329.06079274,167.09300264,24.59170487
sample018,0.997548,8.7784224e-05,0.1578418573245692,0.16751608105424842,0.15995710636787563,0.17487930755567432,0.16606457958776016,0.17374106810987217,27.36799049,112.93886425,328.49184853,262.28740008,88.0177918,128.43109296
