theta,j,j_abs_uncert
2.50000000E+00,1.39933102E-03,1.49728419E-06
7.50000000E+00,1.38817748E-03,1.48534991E-06
1.25000000E+01,1.38535690E-03,1.49618545E-06
1.75000000E+01,1.38775246E-03,1.49877266E-06
2.25000000E+01,1.39868705E-03,1.48260827E-06
2.75000000E+01,1.41897206E-03,1.50411039E-06
3.25000000E+01,1.44487248E-03,1.51711611E-06
3.75000000E+01,1.48089609E-03,1.54013193E-06
4.25000000E+01,1.52594814E-03,1.57172658E-06
4.75000000E+01,1.57807096E-03,1.59385167E-06
5.25000000E+01,1.63882296E-03,1.63882296E-06
5.75000000E+01,1.70558964E-03,1.67147784E-06
6.25000000E+01,1.78227342E-03,1.71098249E-06
6.75000000E+01,1.86758639E-03,1.77420707E-06
7.25000000E+01,1.96073002E-03,1.80387162E-06
7.75000000E+01,2.06088002E-03,1.87540082E-06
8.25000000E+01,2.17126913E-03,1.93242953E-06
8.75000000E+01,2.28668120E-03,1.98941264E-06
9.25000000E+01,2.41037470E-03,2.04881849E-06
9.75000000E+01,2.54158975E-03,2.10951949E-06
1.02500000E+02,2.67746714E-03,2.16874838E-06
1.07500000E+02,2.81665452E-03,2.25332362E-06
1.12500000E+02,2.96208841E-03,2.28080807E-06
1.17500000E+02,3.11253236E-03,2.36552460E-06
1.22500000E+02,3.26113457E-03,2.41323958E-06
1.27500000E+02,3.40877083E-03,2.45431500E-06
1.32500000E+02,3.55345771E-03,2.52295497E-06
1.37500000E+02,3.69553007E-03,2.54991575E-06
1.42500000E+02,3.82834217E-03,2.60327267E-06
1.47500000E+02,3.95015528E-03,2.60710248E-06
1.52500000E+02,4.06218007E-03,2.64041704E-06
1.57500000E+02,4.16193081E-03,2.66363572E-06
1.62500000E+02,4.24809382E-03,2.67629911E-06
1.67500000E+02,4.32266539E-03,2.72327920E-06
1.72500000E+02,4.38341739E-03,2.71771878E-06
1.77500000E+02,4.43220446E-03,2.70364472E-06
1.82500000E+02,4.46466048E-03,2.72344289E-06
1.87500000E+02,4.48202188E-03,2.73403334E-06
1.92500000E+02,4.48221507E-03,2.73415119E-06
1.97500000E+02,4.47162822E-03,2.72769322E-06
2.02500000E+02,4.44552173E-03,2.75622347E-06
2.07500000E+02,4.40392136E-03,2.73043124E-06
2.12500000E+02,4.34923554E-03,2.74001839E-06
2.17500000E+02,4.27671179E-03,2.73709554E-06
2.22500000E+02,4.19148898E-03,2.72446783E-06
2.27500000E+02,4.09177687E-03,2.70057273E-06
2.32500000E+02,3.98102714E-03,2.66728818E-06
2.37500000E+02,3.85873749E-03,2.62394149E-06
2.42500000E+02,3.72940282E-03,2.61058198E-06
2.47500000E+02,3.59558614E-03,2.55286616E-06
2.52500000E+02,3.45523961E-03,2.52232491E-06
2.57500000E+02,3.31229144E-03,2.45109567E-06
2.62500000E+02,3.16810686E-03,2.37608014E-06
2.67500000E+02,3.02545492E-03,2.32960029E-06
2.72500000E+02,2.88579100E-03,2.27977489E-06
2.77500000E+02,2.74947571E-03,2.19958057E-06
2.82500000E+02,2.61761669E-03,2.14644569E-06
2.87500000E+02,2.49188825E-03,2.09318613E-06
2.92500000E+02,2.36704848E-03,2.03566170E-06
2.97500000E+02,2.25002650E-03,1.98002332E-06
3.02500000E+02,2.14033288E-03,1.90489626E-06
3.07500000E+02,2.04033742E-03,1.85670706E-06
3.12500000E+02,1.94566115E-03,1.80946487E-06
3.17500000E+02,1.85766927E-03,1.76478581E-06
3.22500000E+02,1.77637467E-03,1.72308343E-06
3.27500000E+02,1.70324559E-03,1.66918068E-06
3.32500000E+02,1.63644028E-03,1.63644028E-06
3.37500000E+02,1.57677014E-03,1.60830555E-06
3.42500000E+02,1.52706864E-03,1.57288070E-06
3.47500000E+02,1.48268632E-03,1.54199378E-06
3.52500000E+02,1.44640513E-03,1.51872539E-06
3.57500000E+02,1.41862432E-03,1.50374178E-06
