theta,j,j_abs_uncert
2.50000000E+00,1.39848754E-03,1.49638166E-06
7.50000000E+00,1.38637305E-03,1.48341917E-06
1.25000000E+01,1.38272555E-03,1.47951634E-06
1.75000000E+01,1.38734173E-03,1.48445565E-06
2.25000000E+01,1.40068800E-03,1.48472928E-06
2.75000000E+01,1.42056388E-03,1.50579772E-06
3.25000000E+01,1.44857190E-03,1.50651478E-06
3.75000000E+01,1.48542960E-03,1.54484678E-06
4.25000000E+01,1.52906805E-03,1.57494009E-06
4.75000000E+01,1.58040812E-03,1.59621220E-06
5.25000000E+01,1.64038259E-03,1.64038259E-06
5.75000000E+01,1.70836961E-03,1.67420221E-06
6.25000000E+01,1.78607930E-03,1.73249692E-06
6.75000000E+01,1.87035450E-03,1.79554032E-06
7.25000000E+01,1.96202037E-03,1.84429915E-06
7.75000000E+01,2.06302624E-03,1.89798414E-06
8.25000000E+01,2.16983222E-03,1.95284900E-06
8.75000000E+01,2.28630110E-03,2.01194497E-06
9.25000000E+01,2.41150005E-03,2.07389005E-06
9.75000000E+01,2.54137499E-03,2.13475499E-06
1.02500000E+02,2.67791109E-03,2.19588710E-06
1.07500000E+02,2.81851327E-03,2.25481061E-06
1.12500000E+02,2.96484381E-03,2.31257817E-06
1.17500000E+02,3.11492948E-03,2.39849570E-06
1.22500000E+02,3.26301800E-03,2.44726350E-06
1.27500000E+02,3.41260139E-03,2.49119902E-06
1.32500000E+02,3.55737726E-03,2.56131163E-06
1.37500000E+02,3.69753695E-03,2.58827586E-06
1.42500000E+02,3.83029400E-03,2.60459992E-06
1.47500000E+02,3.95446449E-03,2.64949121E-06
1.52500000E+02,4.06833825E-03,2.68510325E-06
1.57500000E+02,4.16505083E-03,2.70728304E-06
1.62500000E+02,4.25071327E-03,2.72045649E-06
1.67500000E+02,4.32592354E-03,2.72533183E-06
1.72500000E+02,4.38686669E-03,2.76372601E-06
1.77500000E+02,4.43439183E-03,2.74932293E-06
1.82500000E+02,4.46360771E-03,2.76743678E-06
1.87500000E+02,4.48136685E-03,2.77844745E-06
1.92500000E+02,4.48400979E-03,2.78008607E-06
1.97500000E+02,4.46870225E-03,2.77059539E-06
2.02500000E+02,4.44253592E-03,2.79879763E-06
2.07500000E+02,4.39855065E-03,2.77108691E-06
2.12500000E+02,4.33807390E-03,2.77636729E-06
2.17500000E+02,4.26862788E-03,2.77460812E-06
2.22500000E+02,4.18425701E-03,2.71976706E-06
2.27500000E+02,4.08590605E-03,2.69669799E-06
2.32500000E+02,3.97505791E-03,2.66328880E-06
2.37500000E+02,3.85608961E-03,2.62214093E-06
2.42500000E+02,3.72987413E-03,2.61091189E-06
2.47500000E+02,3.59355329E-03,2.55142283E-06
2.52500000E+02,3.45678996E-03,2.52345667E-06
2.57500000E+02,3.31432218E-03,2.45259842E-06
2.62500000E+02,3.17081397E-03,2.40981862E-06
2.67500000E+02,3.02700678E-03,2.33079522E-06
2.72500000E+02,2.88638069E-03,2.28024075E-06
2.77500000E+02,2.74912704E-03,2.22679291E-06
2.82500000E+02,2.61731475E-03,2.14619810E-06
2.87500000E+02,2.48852809E-03,2.09036359E-06
2.92500000E+02,2.36643848E-03,2.03513709E-06
2.97500000E+02,2.25286368E-03,1.98252004E-06
3.02500000E+02,2.14382136E-03,1.92943922E-06
3.07500000E+02,2.04059112E-03,1.87734383E-06
3.12500000E+02,1.94380679E-03,1.80774031E-06
3.17500000E+02,1.85454468E-03,1.76181745E-06
3.22500000E+02,1.77136971E-03,1.71822862E-06
3.27500000E+02,1.69840774E-03,1.68142367E-06
3.32500000E+02,1.63221458E-03,1.64853673E-06
3.37500000E+02,1.57557667E-03,1.60708821E-06
3.42500000E+02,1.52441599E-03,1.58539263E-06
3.47500000E+02,1.47982082E-03,1.53901365E-06
3.52500000E+02,1.44420686E-03,1.53085927E-06
3.57500000E+02,1.41799270E-03,1.51725218E-06
