name,k,k_uncert,Q1,Q2,Q3,Q4,Q5,Q6,theta1,theta2,theta3,theta4,theta5,theta6
sample001,1.00122,8.310126e-05,0.1546545286995352,0.17501014472186355,0.17508619195951636,0.15584267770977073,0.17295727651936169,0.1664491803899523,60.80999054,168.92030858,167.4010286,63.46447672,196.17171745,269.54592519
sample002,1.02838,8.227040000000001e-05,0.166301317304132,0.17058076888995657,0.17222416055922496,0.1705686717852877,0.16728874347272998,0.15303633798866886,152.7455237,166.73856345,204.31173477,177.50613734,231.47935933,60.00670837
sample003,0.958805,8.5333645e-05,0.17221050532508048,0.1581086321666872,0.158431364317369,0.18002639581655167,0.1576350817719307,0.17358802060238088,116.24806692,33.06249537,357.62797275,240.24326373,41.13543325,278.92605193
sample004,0.998206,8.3849304e-05,0.15607325674871558,0.1569638296316227,0.1646144271781262,0.17755758386612647,0.1731175415675047,0.17167336100790448,329.15312174,60.57481396,104.54737952,187.10703391,254.54185299,169.58241422
sample005,0.945591,8.6048781e-05,0.1582273044584211,0.18673150767095736,0.15980219657442588,0.16415441377218898,0.16943751632855875,0.16164706119544792,16.49081135,214.78524804,37.62335083,66.62915073,86.49710794,51.91291827
sample006,0.985104,8.4718944e-05,0.15854649381706742,0.16871146647618854,0.16532135618013505,0.1554471704892651,0.1748180958523289,0.17715541718501526,70.20660588,274.2517519,289.03522682,54.7969139,252.55418198,162.0656512
sample007,1.01532,8.325624000000001e-05,0.16436443396560813,0.1720594315772988,0.17400054865605163,0.17408616825093387,0.1603055776544842,0.1551838398956233,267.14248572,187.002843,229.31272228,188.18486004,104.71971796,319.5271965
sample008,0.978867,8.5161429e-05,0.15666000880185316,0.16223053336696427,0.15685312224266196,0.18104215135994606,0.1821232776469699,0.16109090658160474,349.62550456,311.17809602,328.68532116,202.49295723,236.13526109,85.05572194
sample009,0.94851,8.631441e-05,0.16385828136504416,0.15949228042630753,0.16168678036654194,0.17122047471292734,0.15738123077465183,0.1863609523545272,63.95315091,26.31822167,346.39122576,113.34899329,14.83496411,231.7211139
sample010,0.953829,8.4890781e-05,0.17450476455574254,0.17272844697797388,0.1594163901223257,0.17154233883500117,0.1622081376416445,0.15959992186731226,126.85626683,286.65151761,41.83957014,107.53548184,53.09723276,340.4577538
sample011,0.954401,8.589609000000001e-05,0.15754877779824875,0.16248878764238053,0.1808855044846301,0.1589021894325603,0.15706157882097016,0.18311316182121032,31.2840839,320.23266791,243.08722467,339.39760547,4.77525839,215.97875862
sample012,0.968486,8.4258282e-05,0.15859500476207822,0.1823236860046944,0.16284631758638096,0.17172158236313576,0.16758820253665235,0.15692520674705818,47.52960642,215.41666372,73.85243711,114.76982301,96.57577507,27.01924434
sample013,0.979831,8.4265466e-05,0.17558529840036802,0.15560170365284243,0.1670138719137345,0.15633607271932015,0.16243461952333454,0.1830284337904003,147.61774946,342.57264771,118.20284237,355.34957131,87.83686534,233.49583537
sample014,0.994191,8.3512044e-05,0.16141476220784154,0.16903782200984113,0.17870673510968432,0.17577712153942088,0.15555399844924506,0.15950956068396716,300.14952715,265.57485897,224.8630401,181.2831933,331.28145474,88.82751101
sample015,1.00011,8.500935000000001e-05,0.16964017295413703,0.1559790541625498,0.17703809966453055,0.17663712470739698,0.16758578878603297,0.15311975972535258,236.15451267,58.85354686,192.80859284,168.97859621,262.31253877,32.44821133
sample016,0.980846,8.435275600000001e-05,0.17090367021643416,0.15437656256101726,0.1745694830223513,0.17832970380199292,0.16303633907272885,0.15878424132547547,147.85951601,352.32642179,254.8889715,247.51750284,96.51282917,326.71224898
sample017,0.967143,8.5108584e-05,0.16290267667345962,0.1763180242785311,0.17700531394801539,0.15579626634869306,0.16374021639973113,0.16423750235156995,79.03455452,120.50827419,135.44912394,9.50997781,312.35509663,309.62238456
sample018,0.974737,8.5776856e-05,0.16719735891074605,0.15819727287501087,0.16853267924007587,0.15878570327147767,0.17784771009864186,0.16943927560404776,113.63084967,40.33877437,121.4786228,325.5117711,189.79551833,285.51205522
sample019,0.98141,8.538267e-05,0.15914920511399222,0.1591731888544573,0.15824080807706498,0.16347327794427433,0.177193006835366,0.18277051317484505,66.36343939,66.57784271,334.52474675,295.53006184,154.59199379,221.25008569
sample020,0.95075,8.556750000000001e-05,0.16586667849535336,0.1571422548482882,0.18505059745155267,0.16905330995912302,0.15783209883620997,0.1650550604094727,312.22405362,358.21738219,216.64039288,300.00862201,10.05711292,79.38247869
sample021,1.02029,8.264349e-05,0.16791955049376805,0.17106044582874913,0.16990081971293283,0.1528822016946897,0.1694802457208628,0.16875673654899737,136.02638639,152.47781708,191.7856746,325.78478379,186.00610533,138.71425312
sample022,0.982548,8.4499128e-05,0.15729973808237813,0.15370908783626108,0.18010583618418982,0.17899701937376217,0.15624807889726083,0.173640239626148,335.53774302,17.80188111,172.23508587,169.00914609,325.29634653,189.98842114
sample023,1.01078,8.288396e-05,0.16950084479364524,0.16000629553767165,0.15842275226835584,0.15874423951185995,0.175451205617832,0.1778746622706353,153.43294205,293.52184972,89.38982844,83.67194401,190.77656488,199.48233832
sample024,0.987378,8.392713000000001e-05,0.17816169326585335,0.1727166482126608,0.1611511558812303,0.1640093857477798,0.16603949767010895,0.15792161922236658,216.55522628,128.48744351,87.87246874,293.79053012,281.13734643,317.22474593
sample025,0.958198,8.623782000000001e-05,0.18153916026797115,0.16064201542725787,0.16256062900610224,0.16061006821201806,0.1615118176415246,0.1731363094451261,138.1449831,50.64933956,63.80658209,42.90963289,323.24615485,111.14976741
sample026,1.00414,8.334362000000001e-05,0.17411985820343728,0.16906588723939278,0.1560939671045221,0.1695654991407043,0.15782605042686765,0.17332873788507575,243.72910882,145.79974593,57.27760882,154.51484369,69.63271159,174.12782753
sample027,0.999957,8.3996388e-05,0.15528674448619387,0.16750719658610508,0.15477089973420913,0.17425906074971206,0.17343092963440215,0.17474516880937754,326.69224376,154.2287901,42.09192444,168.52519252,134.84442913,196.99474928
sample028,0.940021,8.6481932e-05,0.15904129848773868,0.18854378173523786,0.16141561315815953,0.16275511857996217,0.1664136828894838,0.16183050514941794,356.15761754,190.50170204,40.66004223,50.89127565,71.2678498,340.53265708
sample029,0.97128,8.450136000000001e-05,0.16991585366423861,0.15946855383323782,0.15897012823263604,0.17199465312040715,0.18418202665023606,0.15546878449924437,129.95164728,335.07606928,325.40278886,117.42332676,192.14150523,25.9504089
sample030,0.962766,8.664894000000001e-05,0.16151241579655662,0.15770937056930184,0.1877047611331007,0.17567763190371383,0.15723999124352928,0.1601558293537979,327.53242178,42.86670873,178.3028628,119.66016577,33.54190199,43.74107452
sample031,0.974001,8.4738087e-05,0.1596698640271989,0.15896864950132356,0.16068681622672612,0.15448550515083243,0.18205645030060688,0.18413271479331222,316.84992308,336.27519341,72.42094922,8.24560986,165.39496687,181.77583327
sample032,1.00678,8.356274e-05,0.1559839690126371,0.1662115625701106,0.17593134896243007,0.1790061596243595,0.1683938574828729,0.15447310234758999,57.75755556,121.72876101,161.23622833,189.53604445,135.03700701,42.13765153
